country,category,state,value
Russia,Aircraft ,damaged,8
Russia,Aircraft ,destroyed,94
Russia,Anti-Aircraft Guns ,captured,17
Russia,Anti-Aircraft Guns ,destroyed,28
Russia,Armoured Fighting Vehicles ,abandoned,81
Russia,Armoured Fighting Vehicles ,captured,271
Russia,Armoured Fighting Vehicles ,damaged,32
Russia,Armoured Fighting Vehicles ,destroyed,794
Russia,Armoured Personnel Carriers ,abandoned,23
Russia,Armoured Personnel Carriers ,captured,93
Russia,Artillery Support Vehicles And Equipment ,abandoned,2
Russia,Artillery Support Vehicles And Equipment ,captured,53
Russia,Artillery Support Vehicles And Equipment ,destroyed,58
Russia,Command Posts And Communications Stations ,abandoned,2
Russia,Command Posts And Communications Stations ,captured,83
Russia,Command Posts And Communications Stations ,damaged,4
Russia,Command Posts And Communications Stations ,destroyed,180
Russia,Engineering Vehicles And Equipment ,abandoned,30
Russia,Engineering Vehicles And Equipment ,captured,149
Russia,Engineering Vehicles And Equipment ,damaged,15
Russia,Engineering Vehicles And Equipment ,destroyed,239
Russia,Helicopters ,captured,2
Russia,Helicopters ,damaged,29
Russia,Helicopters ,destroyed,104
Russia,Infantry Fighting Vehicles ,abandoned,253
Russia,Infantry Fighting Vehicles ,captured,621
Russia,Infantry Fighting Vehicles ,damaged,132
Russia,Infantry Fighting Vehicles ,destroyed,2353
Russia,Infantry Mobility Vehicles ,abandoned,5
Russia,Infantry Mobility Vehicles ,captured,51
Russia,Infantry Mobility Vehicles ,damaged,12
Russia,Infantry Mobility Vehicles ,destroyed,168
Russia,Jammers And Deception Systems ,captured,7
Russia,Jammers And Deception Systems ,damaged,11
Russia,Jammers And Deception Systems ,destroyed,52
Russia,Mine-Resistant Ambush Protected ,abandoned,1
Russia,Mine-Resistant Ambush Protected ,captured,10
Russia,Mine-Resistant Ambush Protected ,damaged,5
Russia,Mine-Resistant Ambush Protected ,destroyed,36
Russia,Multiple Rocket Launchers ,abandoned,2
Russia,Multiple Rocket Launchers ,captured,54
Russia,Multiple Rocket Launchers ,damaged,30
Russia,Multiple Rocket Launchers ,destroyed,260
Russia,Naval Ships and Submarines ,damaged,7
Russia,Naval Ships and Submarines ,destroyed,14
Russia,Radars ,captured,10
Russia,Radars ,damaged,11
Russia,Radars ,destroyed,40
Russia,Reconnaissance Unmanned Aerial Vehicles ,captured,137
Russia,Reconnaissance Unmanned Aerial Vehicles ,destroyed,183
Russia,Self-Propelled Anti-Aircraft Guns ,abandoned,2
Russia,Self-Propelled Anti-Aircraft Guns ,captured,8
Russia,Self-Propelled Anti-Aircraft Guns ,damaged,1
Russia,Self-Propelled Anti-Aircraft Guns ,destroyed,14
Russia,Self-Propelled Anti-Tank Missile Systems ,abandoned,4
Russia,Self-Propelled Anti-Tank Missile Systems ,captured,20
Russia,Self-Propelled Anti-Tank Missile Systems ,damaged,1
Russia,Self-Propelled Anti-Tank Missile Systems ,destroyed,18
Russia,Self-Propelled Artillery ,abandoned,7
Russia,Self-Propelled Artillery ,captured,107
Russia,Self-Propelled Artillery ,damaged,38
Russia,Self-Propelled Artillery ,destroyed,513
Russia,Surface-To-Air Missile Systems ,abandoned,4
Russia,Surface-To-Air Missile Systems ,captured,24
Russia,Surface-To-Air Missile Systems ,damaged,30
Russia,Surface-To-Air Missile Systems ,destroyed,147
Russia,Tanks ,abandoned,243
Russia,Tanks ,captured,541
Russia,Tanks ,damaged,149
Russia,Tanks ,destroyed,1769
Russia,Towed Artillery ,abandoned,5
Russia,Towed Artillery ,captured,99
Russia,Towed Artillery ,damaged,38
Russia,Towed Artillery ,destroyed,198
Russia,"Trucks, Vehicles, and Jeeps ",abandoned,46
Russia,"Trucks, Vehicles, and Jeeps ",captured,574
Russia,"Trucks, Vehicles, and Jeeps ",damaged,77
Russia,"Trucks, Vehicles, and Jeeps ",destroyed,2417
Russia,Unmanned Combat Aerial Vehicles ,captured,3
Russia,Unmanned Combat Aerial Vehicles ,destroyed,11
